id,nombre_comercial,pagina_web,pagina_eventos
2,Org 1,,NULL
3,Creación Independiente,https://oci-online.com/,NULL
4,SIL Producciones-Artes en movimiento,,NULL
5,caraBdanza,https://www.carabdanza.com,https://www.carabdanza.com
6,Compañía Nómada,http://elteatrovictoria.com/cia-nomada/,NULL
7,Javier Cuevas + Asociación LAV Ciudad,https://laboratorioartesvivas.org/javiercuevas/,NULL
8,IBÉRICA DE DANZA,https://www.ibericadedanza.com/,NULL
9,Fernando López,http://lrparrafernando.com,NULL
11,Org 1,,NULL
14,Fani Benages,http://fanibenages.com/,NULL
20,Carmen Fumero Cía.,http://dancefromspain.feced.org/carmen-fumero-y-miguel-ballabriga/,NULL
21,Marcat Dance,https://marcatdance.com/,NULL
22,Dos Proposiciones Danza - Teatro,https://www.dosproposiciones.es/,NULL
23,Larumbe Danza,https://larumbedanza.com,NULL
24,EnClaveDanza,http://enclavedanza.es/,NULL
25,Compañía Antonio Gades,https://antoniogades.com/,https://antoniogades.com/
26,Nova Galega,https://novagalegadedanza.com/la-compania/,NULL
27,La Intrusa,http://www.laintrusadanza.com/,NULL
28,Kor'sia,http://kor-sia.com/,NULL
29,Ananda Dansa,https://anandadansa.com/,https://anandadansa.com/
30,Cienfuegos Danza,http://www.cienfuegosdanza.com/,http://www.cienfuegosdanza.com/
31,Anabel Veloso,https://www.anabelveloso.com/es/,https://www.anabelveloso.com/es/
34,Compañía I+D Danza,https://anabeatrizdanza.wixsite.com,https://anabeatrizdanza.wixsite.com/sombra/inicio
35,Entredanza,http://ballet-entredanza.blogspot.com/,NULL
36,Isabel Andreu Mora,https://www.isabelandreumora.com/,NULL
37,Paula Quintana,,NULL
38,Yurena Ruiz,http://www.danzasomatica.com/,NULL
39,Dani Pannullo Dancetheatre Co.,http://www.danipannullo.com/,NULL
40,Carmen Macías,http://dancefromspain.feced.org/carmen-macias/,NULL
41,Celeste Ayus,https://celesteayus.wordpress.com/,https://celesteayus.wordpress.com/
42,Compañía de Danza Fernando Hurtado,,NULL
43,Cía. de Danza María Mora,https://www.danzamariamora.com,NULL
45,Javier Martín,http://www.javiermartin.gal/artesdelmovimiento/javiermartin.html,NULL
46,Cía. Daniel Morales,https://dancefromspain.feced.org/daniel-morales/,NULL
47,Centro Coreográfico de La Gomera,http://www.centrocoreograficoislagomera.com/,http://www.centrocoreograficoislagomera.com/
48,La Casquería,https://la-casqueria5.webnode.es/,NULL
49,Marco Vargas y Chloé Brûlé,https://www.marcovargas-chloebrule.net/,NULL
50,Cristina Hernández Cruz,http://dancefromspain.feced.org/cristina-hernandez-cruz/,NULL
51,El Jablero,https://dancefromspain.feced.org/el-jablero/,NULL
52,Cía. Flamencuría Obdulia Bustos,https://obduliabustos.com/,NULL
53,Natalia Medina Compañía de Danza,http://quetalestas.es/,NULL
54,Reinier Alfonso,,NULL
57,Paloma.pieldEarenA,http://palomapieldearena.es/,NULL
58,Lucía Vázquez Madrid,http://luciavazquezmadrid.com/,NULL
60,Hermanas Gestring,https://www.hermanasgestring.com/,NULL
